樣本,股群,股票代號,股票名稱,2017/07/22,2020/07/22,2023/07/22
﻿A,較強股群,2308,台達電,weak,fine,wow
A,較強股群,2368,金像電,wow,wow,wow
A,較強股群,3231,緯創,weak,wow,fine
A,較強股群,3533,嘉澤,wow,wow,wow
A,較強股群,8046,南電,wow,wow,wow
A,較弱股群,1101,台泥,weak,low,low
A,較弱股群,2634,漢翔,weak,high,weak
A,較弱股群,2882,國泰金,weak,weak,wow
A,較弱股群,8454,富邦媒,wow,weak,damn
A,較弱股群,9910,豐泰,fine,fine,weak
B,較強股群,1519,華城,fine,wow,wow
B,較強股群,2303,聯電,weak,fine,wow
B,較強股群,2454,聯發科,wow,weak,wow
B,較強股群,3037,欣興,wow,high,wow
B,較強股群,3653,健策,wow,wow,wow
B,較弱股群,1477,聚陽,fine,fine,weak
B,較弱股群,1907,永豐餘,weak,weak,weak
B,較弱股群,2317,鴻海,weak,weak,high
B,較弱股群,2642,宅配通,weak,weak,damn
B,較弱股群,2912,統一超,weak,weak,weak
C,較強股群,2330,台積電,high,weak,wow
C,較強股群,3017,奇鋐,wow,wow,wow
C,較強股群,3661,世芯-KY,wow,wow,fine
C,較強股群,8210,勤誠,fine,wow,wow
C,較弱股群,1216,統一,weak,weak,weak
C,較弱股群,2002,中鋼,weak,weak,weak
C,較弱股群,2382,廣達,weak,wow,high
C,較弱股群,2816,旺旺保,weak,weak,fine
C,較弱股群,2911,麗嬰房,low,weak,low
C,較弱股群,8499,鼎炫-KY,weak,weak,high
D,較強股群,1590,亞德客-KY,wow,high,wow
D,較強股群,2345,智邦,wow,wow,wow
D,較強股群,2449,京元電子,fine,fine,wow
D,較強股群,8996,高力,wow,wow,wow
D,較弱股群,1201,味全,weak,low,damn
D,較弱股群,2028,威致,weak,fine,low
D,較弱股群,2201,裕隆,weak,wow,damn
D,較弱股群,3045,台灣大,weak,weak,weak
D,較弱股群,3593,力銘,weak,weak,weak
D,較弱股群,6142,友勁,weak,weak,weak
